Dataset,Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Balanced_Accuracy,MCC,GMean,CV_Accuracy_Mean,CV_Accuracy_STD,CV_F1_Mean,CV_F1_STD,CV_ROC_AUC_Mean,CV_ROC_AUC_STD,CV_Balanced_Accuracy_Mean,CV_Balanced_Accuracy_STD,CV_MCC_Mean,CV_MCC_STD,RankingScore
MACCS,SVM,0.821522309711286,0.6705202312138728,0.9133858267716536,0.7733333333333333,0.8917322834645669,0.7534371149943184,0.844488188976378,0.6523314720973238,0.8416729868700988,0.8224931200550396,0.032181354218099166,0.7726289263664609,0.034846895716937595,0.8849052078218202,0.024257852631994876,0.8422706270627064,0.028779270693110495,0.6510280739470605,0.055824107890068926,0.7698315550772485
Combined,SVM,0.8398950131233596,0.72,0.8503937007874016,0.779783393501805,0.9061938123876248,0.7788954404697912,0.8425196850393701,0.6609713434659001,0.8424828897697799,0.8211687306501547,0.026618214213117462,0.7624247075687702,0.03525428337945294,0.8791844264011175,0.02392183195884232,0.8313488642981947,0.030110350793210682,0.6342380955791664,0.05669149230262558,0.7589966396215932
Morgan,SVM,0.8293963254593176,0.7094594594594594,0.8267716535433071,0.7636363636363637,0.898738297476595,0.7612603165153262,0.8287401574803149,0.6359056081417047,0.8287378195863557,0.8106510147918817,0.03026004823299348,0.7437960515008116,0.039461961366783795,0.8683658322579662,0.02768103337958943,0.8141036691904484,0.03262720872401641,0.6045330549569213,0.06358186008861522,0.7393880867647908
MACCS,LogisticRegression,0.7926509186351706,0.65,0.8188976377952756,0.7247386759581882,0.8646692293384587,0.7130615426545149,0.7992125984251968,0.5715739957163775,0.7989701350529651,0.802764877880977,0.028649160636343044,0.7387971206179762,0.03420674651040369,0.8784095873255146,0.01637665482281079,0.8111386138613861,0.028737751441694145,0.595762737566532,0.05496938090974404,0.7377705457148045
MACCS,XGBoost,0.7690288713910761,0.6511627906976745,0.6614173228346457,0.65625,0.8681257362514725,0.7165583040335136,0.7421259842519685,0.482386325468387,0.7377242631730211,0.8159141726866185,0.02256619693801994,0.7292314064308824,0.03586416740369526,0.8708236359968178,0.02447206480730688,0.7982933410988158,0.02734617673408838,0.591389648135227,0.05213742873024678,0.7303565478119665
Morgan,NaiveBayes,0.7926509186351706,0.6428571428571429,0.8503937007874016,0.7322033898305085,0.8761547523095047,0.7560658101902739,0.8070866141732284,0.5831296952211337,0.805923879176314,0.7830366357069144,0.03936618413114954,0.7179094738411358,0.041942799707112594,0.865252600865623,0.031020644999183115,0.793325373713842,0.035128527789455674,0.5610784075235784,0.07066900568934059,0.7150630920532147
Combined,XGBoost,0.7926509186351706,0.7,0.6614173228346457,0.680161943319838,0.8826337652675306,0.7367558519669015,0.7598425196850394,0.5274096316339225,0.7534408638680747,0.794233746130031,0.033021994782053664,0.6966081954359289,0.04993049733036533,0.8769373660549444,0.022041857423724154,0.7731465734808776,0.03749766758406305,0.5427532380384051,0.07494663723664288,0.7045504594023764
Combined,RandomForest,0.8083989501312336,0.7213114754098361,0.6929133858267716,0.7068273092369478,0.8809907619815239,0.6975622655405955,0.7795275590551181,0.5648635474763339,0.7747007166141003,0.7988390092879256,0.024957430040513148,0.6977903723754907,0.03915010343224663,0.8630918782189637,0.026951613425898573,0.7737297612114153,0.029999630188793723,0.5483396585041007,0.05808997380462868,0.7025456099671156
MACCS,RandomForest,0.7847769028871391,0.6829268292682927,0.6614173228346457,0.672,0.8767902535805071,0.6968871791645905,0.7539370078740157,0.5120499213467565,0.7482386783121008,0.7981768145854835,0.019087994339695147,0.6968589897531678,0.027829308807098333,0.8618678078880553,0.027044007905381303,0.7727297612114153,0.020923850906423094,0.5466340847153719,0.04212571147858092,0.7012941636822952
Combined,NaiveBayes,0.7769028871391076,0.6296296296296297,0.8031496062992126,0.7058823529411765,0.8637547275094549,0.7364801011812823,0.7834645669291338,0.5405899027195887,0.7832172283973672,0.7692552459580324,0.035538651457634254,0.6999086766313556,0.04000184871359143,0.8586734272043122,0.027218213850463704,0.7786049310813434,0.034723295372681734,0.5321263602095418,0.06606552622697708,0.6972034068766984
